period,planned_total_yi,realized_gross_yi,realized_comparable_yi,n_plans,n_bonds
2009-03,0.0,70.0,70.0,0,2.0
2009-04,0.0,594.0,594.0,0,14.0
2009-05,0.0,454.0,454.0,0,10.0
2009-06,0.0,541.0,541.0,0,11.0
2009-07,0.0,119.0,119.0,0,5.0
2009-08,0.0,112.0,112.0,0,4.0
2009-09,0.0,110.0,110.0,0,4.0
2010-06,0.0,438.0,438.0,0,17.0
2010-07,0.0,232.0,232.0,0,7.0
2010-08,0.0,665.0,665.0,0,22.0
2010-09,0.0,358.0,358.0,0,10.0
2010-11,0.0,307.0,307.0,0,14.0
2011-07,0.0,493.4,493.4,0,22.0
2011-08,0.0,922.6,922.6,0,27.0
2011-10,0.0,355.0,355.0,0,14.0
2011-11,0.0,229.0,229.0,0,8.0
2012-06,0.0,416.0,416.0,0,14.0
2012-07,0.0,942.0,942.0,0,24.0
2012-08,0.0,526.0,526.0,0,14.0
2012-09,0.0,589.0,589.0,0,18.0
2012-10,0.0,27.0,27.0,0,2.0
2013-06,0.0,664.0,664.0,0,12.0
2013-07,0.0,479.0,479.0,0,10.0
2013-08,0.0,858.0,858.0,0,16.0
2013-09,0.0,755.0,755.0,0,14.0
2013-10,0.0,708.0,708.0,0,18.0
2013-11,0.0,36.0,36.0,0,2.0
2014-06,0.0,1368.0,1368.0,0,30.0
2014-07,0.0,977.0,977.0,0,21.0
2014-08,0.0,954.0,954.0,0,29.0
2014-09,0.0,659.0,659.0,0,27.0
2014-10,0.0,42.0,42.0,0,3.0
2015-05,0.0,1233.0,411.5,0,19.0
2015-06,0.0,7341.7,1919.18,0,125.0
2015-07,0.0,5605.37,871.93,0,181.0
2015-08,0.0,4803.12,624.33,0,203.0
2015-09,0.0,5437.75,607.0,0,117.0
2015-10,0.0,4823.15,814.0,0,161.0
2015-11,0.0,7637.17,533.08,0,196.0
2015-12,0.0,1361.4,84.0,0,32.0
2016-02,0.0,1667.5,0.0,0,21.0
2016-03,0.0,7886.73,127.0,0,129.0
2016-04,0.0,10646.2,1300.1,0,146.0
2016-05,0.0,5271.05,2038.6,0,140.0
2016-06,0.0,10283.59,5645.3,0,163.0
2016-07,0.0,3955.36,969.22,0,65.0
2016-08,0.0,8394.51,1162.98,0,128.0
2016-09,0.0,2734.59,99.4,0,106.0
2016-10,0.0,4752.16,118.1,0,93.0
2016-11,0.0,3843.6,220.81,0,129.0
2016-12,0.0,1023.19,18.02,0,39.0
2017-02,0.0,145.82,0.0,0,3.0
2017-03,0.0,4599.26,0.0,0,104.0
2017-04,0.0,3249.09,276.0,0,71.0
2017-05,0.0,5484.87,1101.03,0,110.0
2017-06,0.0,5130.76,2823.05,0,91.0
2017-07,0.0,8453.08,6795.32,0,131.0
2017-08,0.0,4697.34,1684.01,0,130.0
2017-09,0.0,3556.4,1340.4,0,144.0
2017-10,0.0,3400.83,521.86,0,123.0
2017-11,0.0,4540.89,1230.46,0,191.0
2017-12,0.0,322.69,125.7,0,36.0
2018-02,0.0,285.59,0.0,0,15.0
2018-03,0.0,1909.83,160.89,0,52.0
2018-04,0.0,3017.92,174.7,0,65.0
2018-05,0.0,3552.57,806.35,0,71.0
2018-06,0.0,5343.26,3759.23,0,90.0
2018-07,0.0,7569.56,5926.7,0,148.0
2018-08,0.0,8829.72,6718.25,0,194.0
2018-09,0.0,7485.47,7485.47,0,160.0
2018-10,0.0,2560.32,2555.55,0,93.0
2018-11,0.0,459.42,459.42,0,16.0
2018-12,0.0,638.12,474.78,0,27.0
2019-01,93.15,4179.68,4179.68,2,95.0
