issuer,set_year,bond_name,bond_code,issue_date,bond_type,bond_type_en,tenor_label,coupon_pct,amount_yi,new_amount_yi,refinance_amount_yi,swap_amount_yi
吉林省,2026,2026年吉林省收费公路专项债券（二期）—2026年吉林省政府专项债券（八期）,2605665,2026-06-16,专项债券,special,30年,2.45,30.0,30.0,0.0,0.0
安徽省,2026,2026年安徽省政府专项债券（四十二期）,2605652,2026-06-16,专项债券,special,10年,1.79,3.96,3.96,0.0,0.0
吉林省,2026,2026年吉林省政府专项债券（九期）,2605666,2026-06-16,专项债券,special,15年,2.25,3.82,3.82,0.0,0.0
安徽省,2026,2026年安徽省政府专项债券（四十四期）,2605654,2026-06-16,专项债券,special,15年,2.15,39.4,39.4,0.0,0.0
安徽省,2026,2026年安徽省政府专项债券（四十六期）,2605656,2026-06-16,专项债券,special,20年,2.37,98.58,98.58,0.0,0.0
安徽省,2026,2026年安徽省政府专项债券（三十七期）,2605647,2026-06-16,专项债券,special,5年,1.52,15.76,15.76,0.0,0.0
安徽省,2026,2026年安徽省政府专项债券（四十五期）,2605655,2026-06-16,专项债券,special,20年,2.38,11.46,11.46,0.0,0.0
安徽省,2026,2026年安徽省政府专项债券（四十一期）,2605651,2026-06-16,专项债券,special,10年,1.79,1.0,1.0,0.0,0.0
安徽省,2026,2026年安徽省政府专项债券（四十期）,2605650,2026-06-16,专项债券,special,7年,1.65,3.0,3.0,0.0,0.0
安徽省,2026,2026年安徽省政府再融资专项债券（九期）,2605643,2026-06-16,专项债券,special,10年,1.79,100.0,0.0,100.0,0.0
安徽省,2026,2026年安徽省政府专项债券（四十七期）,2605657,2026-06-16,专项债券,special,30年,2.43,3.38,3.38,0.0,0.0
安徽省,2026,2026年安徽省政府再融资专项债券（十一期）,2605645,2026-06-16,专项债券,special,30年,2.42,131.0,0.0,131.0,0.0
安徽省,2026,2026年安徽省政府专项债券（四十八期）,2605658,2026-06-16,专项债券,special,30年,2.42,38.15,38.15,0.0,0.0
安徽省,2026,2026年安徽省政府专项债券（三十八期）,2605648,2026-06-16,专项债券,special,7年,1.65,4.31,4.31,0.0,0.0
安徽省,2026,2026年安徽省政府专项债券（三十六期）,2605646,2026-06-16,专项债券,special,5年,1.52,8.69,8.69,0.0,0.0
安徽省,2026,2026年安徽省政府专项债券（四十三期）,2605653,2026-06-16,专项债券,special,10年,1.79,4.64,4.64,0.0,0.0
安徽省,2026,2026年安徽省政府再融资专项债券（十期）,2605644,2026-06-16,专项债券,special,20年,2.37,150.0,0.0,150.0,0.0
安徽省,2026,2026年安徽省政府专项债券（三十九期）,2605649,2026-06-16,专项债券,special,7年,1.65,41.18,41.18,0.0,0.0
黑龙江省,2026,2026年黑龙江省城乡发展专项债券（三期）-2026年黑龙江省政府专项债券（五期）,809373,2026-06-16,专项债券,special,10年,1.79,0.23,0.23,0.0,0.0
吉林省,2026,2026年吉林省地方政府再融资专项债券（六期）,2605669,2026-06-16,专项债券,special,10年,1.79,10.27,0.0,10.27,0.0
吉林省,2026,2026年吉林省政府专项债券（十期）,2605667,2026-06-16,专项债券,special,20年,2.41,13.1,13.1,0.0,0.0
吉林省,2026,2026年吉林省政府一般债券（三期）,2605664,2026-06-16,一般债券,general,10年,1.79,6.26,6.26,0.0,0.0
吉林省,2026,2026年吉林省地方政府再融资一般债券（四期）,2605668,2026-06-16,一般债券,general,5年,1.52,68.98,0.0,68.98,0.0
黑龙江省,2026,2026年黑龙江省政府再融资专项债券（三期）,809370,2026-06-16,专项债券,special,5年,1.52,8.82,0.0,8.82,0.0
黑龙江省,2026,2026年黑龙江省城乡发展专项债券（二期）-2026年黑龙江省政府专项债券（四期）,809372,2026-06-16,专项债券,special,5年,1.52,25.71,25.71,0.0,0.0
黑龙江省,2026,2026年黑龙江省城乡发展专项债券（一期）-2026年黑龙江省政府专项债券（三期）,809371,2026-06-16,专项债券,special,3年,1.36,0.44,0.44,0.0,0.0
黑龙江省,2026,2026年黑龙江省城乡发展专项债券（四期）-2026年黑龙江省政府专项债券（六期）,809374,2026-06-16,专项债券,special,15年,2.15,0.23,0.23,0.0,0.0
黑龙江省,2026,2026年黑龙江省城乡发展专项债券（五期）-2026年黑龙江省政府专项债券（七期）,809375,2026-06-16,专项债券,special,20年,2.37,12.14,12.14,0.0,0.0
