issuer,period,publish_date,new_general_yi,new_special_yi,refinance_yi,total_planned_yi,url,realized_gross_yi,realized_new_general_yi,realized_new_special_yi,realized_refinance_yi,realized_swap_yi,n_bonds,first_issue,has_plan,has_issuance,realized_comparable_yi,lead_wd,on_time,amount_slippage_yi,delivery_ratio
安徽省,2009-03,,,,,,,40.0,40.0,0.0,0.0,0.0,1.0,2009-03-31,False,True,40.0,,,,
新疆维吾尔自治区,2009-03,,,,,,,30.0,30.0,0.0,0.0,0.0,1.0,2009-03-27,False,True,30.0,,,,
内蒙古自治区,2009-04,,,,,,,30.0,30.0,0.0,0.0,0.0,1.0,2009-04-29,False,True,30.0,,,,
吉林省,2009-04,,,,,,,30.0,30.0,0.0,0.0,0.0,1.0,2009-04-23,False,True,30.0,,,,
四川省,2009-04,,,,,,,90.0,90.0,0.0,0.0,0.0,1.0,2009-04-07,False,True,90.0,,,,
天津市,2009-04,,,,,,,26.0,26.0,0.0,0.0,0.0,1.0,2009-04-13,False,True,26.0,,,,
山东省,2009-04,,,,,,,30.0,30.0,0.0,0.0,0.0,1.0,2009-04-15,False,True,30.0,,,,
江苏省,2009-04,,,,,,,84.0,84.0,0.0,0.0,0.0,1.0,2009-04-17,False,True,84.0,,,,
河北省,2009-04,,,,,,,40.0,40.0,0.0,0.0,0.0,1.0,2009-04-29,False,True,40.0,,,,
河南省,2009-04,,,,,,,50.0,50.0,0.0,0.0,0.0,1.0,2009-04-03,False,True,50.0,,,,
湖北省,2009-04,,,,,,,50.0,50.0,0.0,0.0,0.0,1.0,2009-04-23,False,True,50.0,,,,
辽宁省,2009-04,,,,,,,30.0,30.0,0.0,0.0,0.0,1.0,2009-04-13,False,True,30.0,,,,
重庆市,2009-04,,,,,,,58.0,58.0,0.0,0.0,0.0,1.0,2009-04-10,False,True,58.0,,,,
陕西省,2009-04,,,,,,,36.0,36.0,0.0,0.0,0.0,1.0,2009-04-29,False,True,36.0,,,,
青岛市,2009-04,,,,,,,11.0,11.0,0.0,0.0,0.0,1.0,2009-04-23,False,True,11.0,,,,
青海省,2009-04,,,,,,,29.0,29.0,0.0,0.0,0.0,1.0,2009-04-23,False,True,29.0,,,,
上海市,2009-05,,,,,,,40.0,40.0,0.0,0.0,0.0,1.0,2009-05-22,False,True,40.0,,,,
云南省,2009-05,,,,,,,84.0,84.0,0.0,0.0,0.0,1.0,2009-05-08,False,True,84.0,,,,
北京市,2009-05,,,,,,,56.0,56.0,0.0,0.0,0.0,1.0,2009-05-22,False,True,56.0,,,,
四川省,2009-05,,,,,,,90.0,90.0,0.0,0.0,0.0,1.0,2009-05-13,False,True,90.0,,,,
大连市,2009-05,,,,,,,10.0,10.0,0.0,0.0,0.0,1.0,2009-05-13,False,True,10.0,,,,
广西壮族自治区,2009-05,,,,,,,35.0,35.0,0.0,0.0,0.0,1.0,2009-05-22,False,True,35.0,,,,
河南省,2009-05,,,,,,,38.0,38.0,0.0,0.0,0.0,1.0,2009-05-22,False,True,38.0,,,,
浙江省,2009-05,,,,,,,40.0,40.0,0.0,0.0,0.0,1.0,2009-05-08,False,True,40.0,,,,
湖北省,2009-05,,,,,,,31.0,31.0,0.0,0.0,0.0,1.0,2009-05-13,False,True,31.0,,,,
黑龙江省,2009-05,,,,,,,30.0,30.0,0.0,0.0,0.0,1.0,2009-05-08,False,True,30.0,,,,
厦门市,2009-06,,,,,,,8.0,8.0,0.0,0.0,0.0,1.0,2009-06-23,False,True,8.0,,,,
宁夏回族自治区,2009-06,,,,,,,30.0,30.0,0.0,0.0,0.0,1.0,2009-06-08,False,True,30.0,,,,
安徽省,2009-06,,,,,,,37.0,37.0,0.0,0.0,0.0,1.0,2009-06-12,False,True,37.0,,,,
山西省,2009-06,,,,,,,53.0,53.0,0.0,0.0,0.0,1.0,2009-06-26,False,True,53.0,,,,
