article_id,url,title,publish_date,issuer,plan_year,plan_month,plan_type,plan_period,new_general_yi,new_special_yi,refinance_yi,total_planned_yi
69727,https://www.celma.org.cn/dfzfxjh/69727.jhtml,2026年08月山东省债券发行安排公开,2026-07-13,山东省,2026.0,8.0,monthly,2026-08,0.0,425.0,752.0,1177.0
69722,https://www.celma.org.cn/dfzfxjh/69722.jhtml,2026年07月宁夏回族自治区债券发行安排公开,2026-07-10,宁夏回族自治区,2026.0,7.0,monthly,2026-07,0.0,0.0,0.0,0.0
69719,https://www.celma.org.cn/dfzfxjh/69719.jhtml,2026年08月湖南省本月债券发行安排公开,2026-07-10,湖南省,2026.0,8.0,monthly,2026-08,0.0,0.0,0.0,0.0
69723,https://www.celma.org.cn/dfzfxjh/69723.jhtml,2026年08月宁夏回族自治区债券发行安排公开,2026-07-10,宁夏回族自治区,2026.0,8.0,monthly,2026-08,35.0,20.0,68.84,123.84
69708,https://www.celma.org.cn/dfzfxjh/69708.jhtml,2026年07月云南省债券发行安排公开,2026-07-08,云南省,2026.0,7.0,monthly,2026-07,0.0,156.4,0.0,156.4
69696,https://www.celma.org.cn/dfzfxjh/69696.jhtml,2026年08月青海省债券发行安排公开,2026-07-07,青海省,2026.0,8.0,monthly,2026-08,30.0,25.88,56.74,112.62
69638,https://www.celma.org.cn/dfzfxjh/69638.jhtml,2026年06月新疆兵团债券发行安排公开,2026-07-01,新疆生产建设兵团,2026.0,6.0,monthly,2026-06,12.38,38.0,0.0,50.38
69609,https://www.celma.org.cn/dfzfxjh/69609.jhtml,2026年06月天津市债券发行安排公开,2026-06-30,天津市,2026.0,6.0,monthly,2026-06,0.0,0.0,0.0,0.0
69587,https://www.celma.org.cn/dfzfxjh/69587.jhtml,2026年07月天津市债券发行安排公开,2026-06-30,天津市,2026.0,7.0,monthly,2026-07,17.51,22.19,156.22,195.92000000000002
69521,https://www.celma.org.cn/dfzfxjh/69521.jhtml,2026年06月大连市本月债券发行安排公开,2026-06-26,大连市,2026.0,6.0,monthly,2026-06,8.0,86.3,0.0,94.3
