issuer,months_planned,months_issued,coverage_pct,on_time_pct,median_lead_wd,median_delivery_ratio,score
吉林省,60,91,63.7,96.7,22.0,1.0,80.8
山东省,84,108,68.5,89.3,20.0,1.0,80.6
深圳市,42,58,51.7,95.2,30.5,0.92,74.6
广西壮族自治区,68,96,52.1,94.1,21.5,1.0,74.5
贵州省,67,108,55.6,86.6,20.0,1.0,74.0
浙江省,59,91,53.8,88.1,20.0,1.0,73.7
黑龙江省,68,83,55.4,95.6,18.5,1.0,72.7
四川省,59,105,48.6,89.8,20.0,1.0,71.8
宁夏回族自治区,77,79,60.8,70.1,18.0,1.0,66.3
宁波市,38,52,48.1,86.8,18.0,1.0,65.9
湖北省,55,109,45.0,72.7,15.0,1.0,53.8
湖南省,55,103,43.7,61.8,16.0,1.0,53.5
北京市,55,83,49.4,52.7,15.0,1.0,50.5
上海市,55,51,52.9,67.3,13.0,1.0,50.3
福建省,40,73,52.1,52.5,10.5,1.0,39.9
江苏省,76,94,62.8,34.2,11.0,1.0,38.2
江西省,44,86,48.8,40.9,10.5,1.0,36.2
甘肃省,64,80,65.0,53.1,7.5,1.0,36.0
山西省,61,86,57.0,49.2,8.0,1.0,34.0
青海省,43,60,51.7,48.8,7.0,1.0,30.1
安徽省,57,92,59.8,38.6,6.0,1.0,26.5
河北省,89,108,67.6,39.3,3.0,1.0,20.8
新疆维吾尔自治区,46,104,38.5,4.3,7.5,1.0,19.6
河南省,52,89,51.7,23.1,1.5,1.0,9.7
海南省,72,73,58.9,30.6,-7.0,1.0,9.0
云南省,31,90,33.3,3.2,3.0,1.0,8.0
厦门市,36,49,57.1,27.8,-1.0,1.0,7.9
内蒙古自治区,54,110,40.0,27.8,-10.0,1.0,5.6
陕西省,49,101,39.6,26.5,-9.5,1.0,5.3
广东省,60,86,48.8,18.3,-19.0,1.0,4.5
西藏自治区,38,36,61.1,7.9,-20.0,1.0,2.4
重庆市,42,86,40.7,11.9,-12.0,1.0,2.4
青岛市,60,87,55.2,3.3,-64.5,1.0,0.9
辽宁省,57,99,52.5,0.0,-17.0,1.0,0.0
天津市,53,92,48.9,0.0,-17.0,1.0,0.0
新疆生产建设兵团,30,31,96.8,0.0,-6.0,1.0,0.0
大连市,42,67,61.2,0.0,-3.0,1.0,0.0
