article_id,new_general_yi,new_special_yi,refinance_yi
69384,55.9541,300.0,0.0
69375,75.0,115.0,40.0
69374,0.0,0.0,0.0
69361,39.77,200.0,0.0
69346,0.0,0.0,0.0
69343,0.0,0.0,0.0
69327,0.0,177.31,0.0
69321,148.64,226.0,72.31
69299,0.0,0.0,205.0
69267,0.0,35.52,149.53
69266,2.0,31.88,26.76
69265,2.1,37.2,139.59
69264,3.0,52.9,3.0
69263,0.0,162.9,68.21
69228,0.0,0.0,0.0
69186,0.0,48.87,0.0
69119,0.0,0.0,291.6
69054,24.0,13.51,39.6
69053,0.0,17.14,30.76
69044,0.0,0.0,20.59
68605,0.0,0.0,18.0
68604,0.0,0.0,0.0
68587,0.0,50.0,98.93
68586,0.0,100.0,37.0
68576,0.0,303.51,0.0
68567,16.0,2.53,170.97
68552,0.0,0.0,0.0
68544,30.0,173.0,158.09
68505,0.0,0.0,0.0
68502,30.0,200.0,215.0
69035,100.0,50.0,0.0
69012,0.0,0.0,763.5
69011,0.0,75.04,261.6
69000,35.62,31.0,0.0
68984,0.0,152.58,500.0
68971,30.0,200.0,0.0
68959,0.0,0.0,0.0
68955,0.0,0.0,0.0
68953,0.0,0.0,100.38
68951,0.0,354.0,10.0
68798,25.0,50.0,155.0
68789,0.0,0.0,0.0
68774,9.9,0.0,345.61
68747,0.0,0.0,138.81
69239,28.52,122.08,501.74
68727,9.0,27.0,298.66
68726,50.0,50.0,0.0
68663,0.0,0.0,29.28
68659,15.88,8.06,374.48
68633,0.0,152.58,511.0
68491,0.0,0.0,0.0
68477,0.0,0.0,300.0
68473,19.35,25.9,109.15
68471,25.0,50.0,0.0
68443,15.0,10.0,61.8
69238,0.0,0.0,547.43
68401,13.4,46.5,87.2
68366,0.0,150.0,303.0
68367,0.0,150.0,312.0
68362,0.0,199.46,0.0
68628,0.0,0.0,129.23
68627,0.0,500.0,122.35
68626,0.0,0.0,0.0
68625,0.0,235.0,748.81
68622,0.0,0.0,0.0
68621,0.0,300.0,0.0
68639,0.0,0.0,249.83
68624,0.0,300.0,179.0
68617,,,
68609,0.0,57.86,16.2
68891,0.0,0.0,0.0
68888,20.0,225.0,0.0
68875,0.0,50.83,8.82
68874,0.0,0.0,0.0
68870,0.0,221.0,314.429
68862,2.0,31.88,26.76
68861,2.1,37.2,139.59
68860,3.0,52.9,3.0
68859,0.0,162.9,68.21
68836,0.0,0.0,0.0
68964,0.0,33.82,102.05
68938,0.0,23.5,210.0
68935,14.3,56.7,70.0
68934,9.55,8.8,402.88
68933,,,
68932,0.0,235.51,488.36
68908,0.0,340.0,419.04
68906,160.0,450.0,56.34
69022,6.26,48.46,79.25
68899,30.0,190.0,289.54
68315,0.0,50.0,46.28
68273,0.0,0.0,0.0
68270,0.0,0.0,444.47
68269,0.0,400.0,0.0
68268,47.92,643.54,228.37
68267,25.0,50.0,181.0
68257,0.0,0.0,137.0
68246,0.0,0.0,0.0
68216,10.29,2.4,102.32
